"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bosnia and Herzegovina","BIH","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.75","6.99","6.59","5.49","20.72","20.96","25.4","14.86","11.7","14.35","10.08","10.61","10.28","8.8","10.69","10.23","9.5","6.49","7.02","8.63","10.65","5.28","5.42","9.64","8.51","7.73","7.21","4.86","7.53","7.61","5.92","8.35","6.16","","",
"Belarus","BLR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.05","0.04","0.05","0.08","0.2","0.19","0.24","0.61","5.75","7.01","","",
"Belize","BLZ","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.94","4.23","3.88","4.3","3.4","2.91","2.93","2.94","2.88","3.38","4.58","4.7","4.09","3.6","3.84","3.18","3.43","3.61","3.52","3.36","2.95","2.95","2.73","2.92","2.36","2.58","1.74","2.18","2.6","3.25","3.69","3.52","3.25","","",
"Brazil","BRA","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.07","13.36","13.61","13.73","13.4","13.94","13.83","13.91","14.18","14.03","14.78","14","14.37","14.93","14.55","14.65","15.06","15.04","14.29","15.47","14.57","15.33","14.48","13.14","12.42","12.49","14.1","13.82","14.82","15.22","15.48","14.59","17.01","17.34","",
"Barbados","BRB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0","0.01","0","0","0","0","0","0.01","0.01","","",
"Bhutan","BTN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04","0.04","0.06","0.06","0.06","0.03","0.04","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.01","0.01","0","0","0","0","0","0","0","0.01","0.01","0.02","0.04","0.05","0.05","0.06","0.04","0.07","0.08","","",
"Central African Republic","CAF","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.23","23.28","22.45","23.51","24.48","23.25","22.95","21.43","19.65","19.82","19.75","19.58","20.03","18.51","19.82","20.48","20.44","20.47","21.48","21.56","20.99","21.78","22.08","23.2","22.87","22.6","21.82","21.23","20.71","20.43","21.88","20.88","20.4","19.69","",
"Central Europe and the Baltics","CEB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.46532627460808","7.00043833039505","7.01964031262663","7.1805506704732","7.48349274318655","7.74552426749335","7.95263814321627","8.26247196387544","8.95096394085782","9.08879917530374","9.56277904419012","9.99955839662026","10.8100337110204","10.4273722622722","10.7757780265603","10.6520507917147","10.3118156908515","9.90274021020305","10.690287310913","11.4754947313177","10.4449959171244","10.4012430259734","10.9101990998506","11.4859207596863","12.298690215966","11.5968550383384","11.2334252512561","11.2529553616041","11.2342736101085","11.6989027313708","12.3310673530929","11.9199611034265","12.557087260585","","",
"Switzerland","CHE","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.99","35.55","36.21","38.07","39.97","39.69","37.02","38.48","38.29","40.46","40.55","40.01","39.44","39.42","38.42","34.16","36.98","40.47","39.02","38.67","38.66","39.13","39.66","38.6","42.82","39.22","36.92","35.82","41.64","42.75","42.42","37.66","40.92","45","",
"Channel Islands","CHI","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.48","7.88","9.3","9.67","8.56","8.63","7.13","7.16","5.82","4.67","6.33","7.31","7.49","7.22","6.87","8.03","8.49","6.5","6.87","7.4","6.15","5.47","4.78","4.58","6.27","6.7","6.56","6.72","7.7","7.61","8.76","9.12","10.68","12.66","",
"China","CHN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.25","1.28","1.31","1.47","1.9","2.01","1.99","2.08","2.18","2.16","2.31","2.68","2.79","2.79","2.97","2.99","2.98","3.12","3.62","3.66","3.8","3.8","4.5","5.02","5.66","6.32","7.19","7.67","8.19","8.77","9.11","9.48","9.94","","",
"Cote d'Ivoire","CIV","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.62","2.41","1.85","1.87","1.95","2.98","2.65","2.73","2.01","2.15","2.23","2.37","2.13","2.39","1.62","1.28","1.37","1.52","1.59","1.95","1.67","1.61","1.48","1.29","1.53","1.2","1.29","1.68","2.59","2.9","2.66","1.62","1.71","","",
"Cameroon","CMR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.58","4.57","4.57","4.58","4.25","4.27","4.35","4.52","4.43","4.71","4.66","4.65","4.05","4.31","4.64","4.43","4.95","5.19","5.66","4.97","5.23","5.15","4.77","4.69","4.32","4.09","4.37","4.63","4.45","4.57","4.23","5.27","5.73","","",
"Congo, Dem. Rep.","COD","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1","3.83","4.33","3.87","3.7","4.13","3.95","3.2","2.93","3.27","3.7","3.56","3.52","3.42","3.78","3.8","3.73","3.74","3.45","3.49","3.39","3.2","2.51","2.64","2.69","2.64","2.63","2.74","3.04","3.26","3","2.9","2.84","","",
"Congo, Rep.","COG","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.35","5.02","4.49","3.78","3.93","3.76","5.17","5.34","4.05","1.14","3.6","3.66","4.25","3.11","3.39","2.81","2.25","2.29","2.39","1.84","2.2","3.05","3.32","3.07","3.35","3.35","3.31","3.53","3.11","2.23","2.31","2.47","2.56","","",
"Colombia","COL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.7","9.67","7.5","8.99","9.94","9.83","10.61","9.68","9.16","11.16","10.57","10.49","11.44","11.92","13.15","12.47","12.71","13.29","13.2","11.17","11.08","13.09","13.15","10.63","10","10.04","9.78","12.78","12.89","10.64","10.52","12.07","13.47","12.25","",
"Comoros","COM","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.34","17.66","25.88","26.64","27.08","24.78","26.25","30.69","28.67","32.52","33.76","35.15","37.29","34.45","39.57","36.49","34.99","32.49","33.71","35.5","35.92","36.65","38.55","38.71","38.71","39.89","37.15","35.79","34.25","39.81","44.57","42.81","42.27","41.16","",
"Caribbean small states","CSS","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6","13.98","19.23","16.32","","","","","18.27","18.16","14","9.59","9.02","7.39","4.75","4.51","6.7","8.38","9.51","7.9","8.2","8.22","7.37","","",
"Cuba","CUB","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04","0.06","0.06","0.07","0.04","0.06","0.07","0.09","0.07","0.07","0.06","0.05","0.08","0.1","0.07","0.05","0.08","0.1","0.12","0.13","0.08","0.09","0.1","0.12","0.11","0.08","0.1","0.14","0.27","0.33","0.34","0.37","0.34","","",
